OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,SalePrice
5,1584,3,792,1584,1584,2,8,1967,1967,124000
7,1626,2,474,764,764,2,6,2003,2004,173000
7,2344,3,889,1264,1277,2,7,1996,1997,265000
8,1629,3,880,3206,1629,2,7,2003,2004,284000
6,1406,0,0,319,1035,1,6,1920,1950,89500
5,990,2,480,990,990,1,5,1994,1995,138000
7,2046,3,871,998,1006,2,8,2003,2004,284000
6,1362,2,504,1362,1362,1,6,1961,1961,163000
8,1694,3,818,1694,1694,2,7,2007,2007,318000
8,2622,2,712,1463,1500,2,9,1994,1995,325000
9,1752,2,576,1752,1752,2,6,2005,2005,319900
5,2002,3,871,1001,1001,2,8,1949,1950,145000
6,1888,2,578,1517,1888,2,6,1966,2002,190000
5,954,2,576,911,954,1,6,1976,1976,132500
5,894,2,440,864,894,1,5,1974,1974,142500
8,1566,2,750,1566,1566,2,7,2008,2008,262500
6,1848,2,370,833,1053,1,8,1923,2000,207000
4,869,0,0,440,869,1,4,1923,1958,85500
5,1144,2,456,1144,1144,1,6,1961,1961,139950
6,1362,2,502,611,751,2,6,1920,1999,128000
4,1225,0,0,950,1225,1,6,1959,1959,128950
7,1852,2,644,900,932,2,7,2009,2009,252678
6,1516,2,472,1516,1516,1,6,1964,1964,167000
5,1505,1,240,883,988,1,8,1940,1982,145000
5,1576,2,528,1324,1072,1,6,1923,2004,223500
5,1040,1,384,1040,1040,1,5,1965,1965,129500
6,1215,1,297,1215,1215,1,6,1958,1998,155000
6,1291,2,431,1291,1291,1,6,1996,1997,173000
7,1797,2,639,939,939,2,8,2006,2006,213500
5,1268,1,252,1268,1268,1,5,1977,1989,143500
6,1556,2,452,716,716,2,6,1980,1980,151000
5,2634,4,968,1248,1338,2,12,1969,1969,200000
6,1487,1,220,735,798,1,7,1945,1950,113000
4,864,2,400,864,864,1,4,1951,1951,141000
7,1363,2,439,1385,1363,1,5,1954,2005,241500
7,1908,2,493,915,933,2,8,1994,1995,210000
5,1795,1,352,1050,1050,2,7,1954,1954,131500
7,1720,2,440,840,840,2,7,2004,2004,183500
7,1405,2,478,1405,1405,2,6,2003,2003,171750
7,1775,2,425,740,1006,2,7,1993,1993,213000
8,2374,3,656,1181,1234,2,10,2003,2004,285000
5,1343,1,186,731,820,1,7,1921,1950,154900
6,1575,2,529,1575,1575,2,5,1992,1992,179200
5,840,0,0,672,840,1,5,1930,1950,87000
5,2372,1,432,994,1378,2,11,1892,1965,107500
6,2792,2,520,1510,1584,2,8,1920,1950,256000
6,2872,2,619,1330,1542,2,11,1977,1995,272000
5,1077,1,205,991,1077,1,5,1939,1950,118000
5,1464,2,480,520,1464,2,6,1963,1999,175000
7,1490,2,388,788,788,2,8,2004,2005,184000
5,988,2,572,988,988,1,5,1961,1961,128500
5,1230,2,440,440,682,1,5,1910,1981,110000
7,1504,2,437,1346,1504,2,7,2005,2006,191000
6,1368,1,216,684,684,1,7,1910,1993,114504
6,1252,1,288,1032,1032,1,6,1950,1950,119000
6,1489,2,462,1489,1489,2,7,1968,1968,185750
6,1302,1,309,1302,1302,2,7,1964,1991,158000
7,2291,2,429,975,1005,2,8,1999,1999,230000
7,1430,2,400,384,774,2,8,2000,2000,170000
5,1128,1,286,936,1128,1,5,1954,1954,118000
7,1414,2,398,1375,1414,2,6,2004,2004,178740
6,2267,2,390,1010,1010,2,8,2002,2002,200000
4,960,2,576,960,960,1,6,1970,1970,129000
6,1244,1,336,1244,1244,1,6,1957,1957,150000
6,1337,2,405,1237,1337,2,5,1998,1998,153500
7,1632,2,462,935,955,2,8,1998,1998,176500
4,960,1,288,672,960,1,5,1956,1956,112000
7,1604,2,660,1604,1604,2,8,2006,2006,220000
5,1020,0,0,780,780,1,6,1875,1996,94000
8,2270,3,671,1152,1164,2,9,1999,2007,290000
5,1120,0,0,1120,1120,1,6,2007,2007,147000
7,1661,2,598,1649,1661,2,6,1998,1998,224900
5,1057,1,246,1057,1057,1,5,1953,2007,109000
5,1348,1,216,884,884,1,5,1925,1997,117000
6,1647,2,460,953,953,2,7,1999,2000,175000
7,1200,2,480,600,520,2,4,2005,2005,151000
5,864,2,572,864,864,1,5,1955,1990,115000
7,1889,1,308,925,964,1,9,1910,1950,122000
8,2872,2,541,1683,2129,2,9,1992,2000,285000
6,1458,1,330,912,912,1,6,1948,1950,97500
6,1069,2,440,1069,1069,2,4,1977,1977,140000
7,1710,2,480,576,902,2,9,1921,1950,140000
6,1686,2,612,1686,1686,2,7,1980,1980,207500
8,1360,2,565,1220,1360,1,4,1984,1984,187500
5,1112,1,336,536,536,1,4,1976,1976,85000
8,1228,2,472,1228,1228,2,5,1988,1989,189000
5,1131,1,200,676,676,1,5,1941,1950,66500
5,1475,1,336,757,925,2,6,1977,1977,127000
7,1654,3,900,1654,1654,2,6,2002,2002,230000
7,1472,2,402,384,802,2,7,1991,1992,160000
4,1005,2,672,1005,1005,1,5,1955,1955,115000
6,1902,2,539,0,1318,2,8,1978,1978,112000
7,1768,2,320,880,880,1,6,1914,1970,163000
6,1334,2,630,1350,1334,2,6,1977,1977,167900
8,1554,2,627,1554,1554,2,6,2006,2006,209500
5,816,1,264,816,816,1,5,1982,2008,130500
7,2287,2,667,1304,1304,2,7,1953,1953,225000
5,864,1,288,864,864,1,5,1972,1972,128500
6,1456,2,440,855,855,2,7,1978,1978,146000
6,1362,2,460,1362,1362,2,6,2005,2006,194700
5,616,1,205,616,616,1,4,1921,1950,89000
5,1150,1,300,1150,1150,1,6,1959,1959,141000
6,2358,2,360,907,1307,3,10,1908,1997,240000
5,943,2,600,943,943,1,4,1979,1979,135960
8,1588,3,825,1588,1588,2,7,2006,2006,227000
6,1953,2,501,1580,1079,2,9,1992,1992,240000
4,1123,1,264,732,772,1,4,1939,1950,100000
5,1188,2,531,1188,1188,1,6,1959,1959,142000
7,2097,2,583,1108,1108,2,8,1998,1998,274300
6,1960,2,440,860,860,2,8,2002,2002,216500
5,1812,2,672,360,1032,2,8,1900,1996,140000
6,1977,2,540,816,1127,1,9,1964,1978,165000
6,1469,1,216,756,756,1,7,1906,1995,135000
8,1601,2,670,1581,1601,2,6,2001,2002,272000
7,999,2,588,944,999,1,6,1961,2007,178400
6,981,2,576,981,981,1,5,1971,1971,143250
9,1940,3,606,1930,1940,2,8,2009,2010,395192
5,1696,1,349,1140,1696,1,8,1962,1962,143900
5,1008,1,275,1008,1008,1,4,1954,1954,137000
7,1744,2,457,996,1014,2,7,1993,2003,194500
10,2296,3,842,1722,1728,2,10,2008,2008,451950
5,789,1,250,789,789,1,5,1948,1950,115000
7,1301,2,572,1293,1301,2,5,2006,2006,187750
4,1056,1,384,1056,1056,1,5,1966,1966,107000
7,1920,2,487,570,1222,3,8,1968,1992,170000
5,694,1,352,440,694,1,4,1913,2002,90350
6,1682,2,523,804,804,2,7,1998,1998,200500
7,2462,2,576,1392,1392,2,9,2005,2006,320000
7,1969,2,534,808,1161,2,8,1977,1977,190000
8,1987,2,691,1986,1987,2,7,1994,1994,301500
6,1548,2,440,804,804,2,7,1976,1976,155000
8,2526,3,844,1165,1203,2,8,1994,1994,290000
8,1919,2,685,1079,1079,2,8,2006,2006,233230
8,1776,3,712,1732,1776,2,7,2006,2007,283463
5,894,2,552,894,894,1,5,1972,1972,149900
8,2198,3,836,1145,1145,2,9,2000,2000,250000
6,1494,1,213,771,753,1,7,1942,1950,177500
6,1913,2,342,896,1172,1,9,1928,1950,177000
8,2417,2,462,1288,1301,2,9,1991,1992,260000
7,1690,1,225,815,815,1,7,1916,1950,144000
5,894,1,308,894,894,1,5,1962,1962,109500
6,1512,2,440,756,756,2,4,2000,2000,168500
6,1537,2,462,1319,1537,1,7,1962,2005,174000
7,2554,2,704,718,1576,1,8,1890,1998,159500
6,1355,0,0,684,773,1,7,1914,2006,127000
6,987,1,288,483,483,1,5,1972,1972,94500
6,1661,1,377,992,1661,1,8,1955,1996,165500
6,1431,1,296,1099,1431,1,6,1962,1962,165000
8,1646,3,800,1638,1646,2,7,2007,2008,293077
5,1302,1,280,630,630,2,6,1971,1971,112000
7,1717,2,400,1156,1187,2,7,1990,1991,187500
4,708,0,0,420,708,1,5,1940,1950,82500
7,2035,2,434,884,884,2,8,2001,2001,222500
6,2158,2,576,1202,2158,2,7,1950,2001,243000
6,1416,2,776,708,708,2,7,1968,1968,179900
5,1535,2,400,0,1535,2,8,1979,1979,118858
7,2157,2,487,924,1216,2,8,1966,1966,226000
8,1704,3,772,1704,1704,2,7,2007,2008,306000
6,1792,2,451,936,962,2,8,2000,2000,186500
6,1611,2,442,780,798,1,7,1964,1964,167900
5,864,2,624,864,864,1,5,1958,1958,129900
6,1456,2,429,728,728,2,8,2006,2006,172785
7,1436,2,484,1436,1436,2,8,2004,2004,210000
5,1252,2,576,504,936,1,5,1908,1991,127000
5,1385,2,720,910,910,2,6,1952,1952,166000
6,2142,1,509,896,1182,2,8,1968,1968,193500
5,1620,2,462,780,780,2,7,1969,1969,152000
6,2526,1,216,714,1664,2,10,1916,1950,136000
5,858,0,0,858,858,1,4,1958,2008,116500
5,892,1,264,864,892,1,5,1966,1966,110000
